Date,Close,ADL,OBV,ADX,MACD Line,RSI,Previous Close
2010-02-11,4826.85,173539346.849,-80920920,57.9641159069,-80.8992142068,33.5165152436,4757.2
2010-02-15,4801.95,-127592496.959,-234679847,57.3761004365,-77.167544447,34.2167494215,4826.85
2010-02-16,4855.75,141316437.343,-78668612,55.9922474656,-69.4241459875,36.4515906383,4801.95
2010-02-17,4914.0,199268855.096,97833654,53.6363002396,-58.28297515,38.6781312397,4855.75
2010-02-18,4887.75,-162094850.414,-95679581,51.4486349584,-50.8454177488,39.3346229517,4914.0
2010-02-19,4844.9,-14499069.8532,-289990886,50.2274142009,-47.6344234074,39.2688510199,4887.75
2010-02-22,4856.4,-203891530.159,-140628486,48.5706056298,-43.7135586091,38.2819549272,4844.9
2010-02-23,4870.05,115917369.209,-11394570,47.1850475886,-39.1167757608,37.481821625,4856.4
2010-02-24,4858.6,12306185.2723,-152608046,45.8984579788,-35.9352325754,38.7327419975,4870.05
2010-02-25,4859.75,30209279.2929,26835073,44.7037676269,-32.9453995603,37.0724971456,4858.6
2010-02-26,4922.3,-29886220.9442,367972236,41.6712599452,-25.46547172,39.7928391562,4859.75
2010-03-02,5017.0,342877706.295,601099347,39.4183967286,-12.0843310311,44.0133263698,4922.3
2010-03-03,5088.1,333028055.157,792891112,38.1537392511,3.97792434984,46.2202415632,5017.0
2010-03-04,5080.25,124474535.7,587786164,37.0240642778,15.9035467095,47.6855125042,5088.1
2010-03-05,5088.7,-77048384.8933,797390910,36.2414060898,25.7095815176,46.3152090782,5080.25
2010-03-08,5124.0,59861372.9299,985355621,35.8499016617,35.8209841603,46.503059896,5088.7
2010-03-09,5101.5,-196246111.824,826620915,35.4863618356,41.5856026066,47.209747569,5124.0
2010-03-10,5116.25,22486540.0287,993795438,35.219438853,46.7688294135,46.2282725377,5101.5
2010-03-11,5133.4,74611736.895,1149493484,35.1669868363,51.6268465516,45.4260212568,5116.25
2010-03-12,5137.0,-52549051.7,1302055247,35.1902498828,55.1214536188,43.8224789697,5133.4
2010-03-15,5128.9,30033164.9007,1167176574,34.6388186284,56.595687506,45.2285024022,5137.0
2010-03-16,5198.1,176957863.974,1287869060,34.9079661404,62.5143647497,47.7071682128,5128.9
2010-03-17,5231.9,106524530.192,1457636165,35.7082955211,69.0824979407,47.8684146574,5198.1
2010-03-18,5245.9,169082359.273,1617972885,36.4514585174,74.5355100328,46.8672069057,5231.9
2010-03-19,5262.8,154579773.54,1754844733,37.291304973,79.2821610892,46.0803440103,5245.9
2010-03-22,5205.2,-132326978.447,1624805322,36.7171539936,77.5665779616,44.8776746406,5262.8
2010-03-23,5225.3,79367543.2032,1771285126,36.1840137986,76.9186825427,44.3288206188,5205.2
2010-03-25,5260.4,326544113.883,1979129970,36.0206088511,78.2979006735,44.7423566239,5225.3
2010-03-26,5282.0,82371451.0361,2120095546,36.2140928525,80.1875227759,44.2940812261,5260.4
2010-03-29,5302.85,102845285.904,2252281987,36.815241542,82.3978231502,43.8238872038,5282.0
2010-03-30,5262.45,-186496666.957,2118798221,37.3734510393,79.997934956,43.5910576638,5302.85
2010-03-31,5249.1,-155031037.983,1971179526,37.3947655599,76.1497432184,44.7247197572,5262.45
2010-04-01,5290.5,171743816.405,2098952787,37.4804885926,75.5406575447,45.5739807711,5249.1
2010-04-05,5368.4,208582415.992,2231372648,38.4868412992,80.3669077711,48.437988809,5290.5
2010-04-06,5366.0,-66461887.5967,2084320747,39.5285519933,83.0407797191,50.1562752595,5368.4
2010-04-07,5374.65,28103851.4799,2251110996,40.603204373,84.8735111902,48.8136804957,5366.0
2010-04-08,5304.45,-218224459.636,2094325115,39.9822454679,79.7760771071,46.7825540332,5374.65
2010-04-09,5361.75,179973443.984,2248822866,39.4056407703,79.4172073213,48.2898393453,5304.45
2010-04-12,5339.7,-130307083.75,2113920867,38.9401345562,76.4806887419,48.9527446749,5361.75
2010-04-13,5322.95,-56823219.0328,1987339062,37.8340450397,71.9783259924,49.872765075,5339.7
2010-04-15,5273.6,-329994576.008,1792325829,35.8625230423,63.711503864,48.9779709832,5322.95
2010-04-16,5262.6,30534602.8571,1641312304,33.3954370658,55.6347041241,50.2136011931,5273.6
2010-04-19,5203.65,-85844164.8159,1485990894,32.318290538,43.98859243,48.7760130807,5262.6
2010-04-20,5230.1,-43604003.9019,1685469024,31.3180830479,36.465284706,48.4411286501,5203.65
2010-04-21,5244.9,-74385048.1333,1882370622,30.1708215255,31.3320791638,47.4619841766,5230.1
2010-04-22,5269.35,-46252254.3668,2062656698,28.3067775154,28.8975971623,47.090147958,5244.9
2010-04-23,5304.1,204749352.899,2216777120,26.575879506,29.4249020672,47.3444327023,5269.35
2010-04-26,5322.45,18905671.1442,2343799598,25.5513371247,30.9624431215,46.6182638075,5304.1
2010-04-27,5308.35,-151117306.827,2199371090,24.5999763421,30.6920432488,47.6856216483,5322.45
2010-04-28,5215.45,-269487340.957,2020725973,23.8746114303,22.7364928763,44.6178417565,5308.35
2010-04-29,5254.15,197633565.415,2192409392,23.2010582978,19.3251080359,45.1387441058,5215.45
2010-04-30,5278.0,52584571.3793,2344904649,21.9441185723,18.330959381,44.7525937304,5254.15
2010-05-03,5222.75,-140423165.069,2233458981,21.5113368088,12.9437515711,43.8988375146,5278.0
2010-05-04,5148.5,-222159518.474,2087919251,22.1099411175,2.66247057877,42.308585396,5222.75
2010-05-05,5124.9,203270054.504,1880240113,23.4541321348,-7.30252699586,43.0586110846,5148.5
2010-05-06,5090.85,83984250.5645,1688134406,24.8668221062,-17.738782948,43.3072219667,5124.9
2010-05-07,5018.05,-157719077.809,1454788684,26.6099004732,-31.5126251182,41.8580273805,5090.85
2010-05-10,5193.6,341186573.596,1646421448,26.0718630195,-27.9581128921,49.2287913408,5018.05
2010-05-11,5136.15,-256284106.204,1477669516,25.5190490554,-29.4322527734,48.5603116145,5193.6
2010-05-12,5156.65,210484485.097,1664780874,25.3092333765,-28.618132808,47.6666860374,5136.15
2010-05-13,5178.9,-15790855.8672,1844159456,24.4612505083,-25.8809319186,46.8911919464,5156.65
2010-05-14,5093.5,-181839454.461,1699778455,24.5046448556,-30.2477687587,45.1829402165,5178.9
2010-05-17,5059.9,155714744.287,1530471661,25.4249064581,-36.0023701023,45.6596458898,5093.5
2010-05-18,5066.2,9987161.33539,1667498900,26.1058195066,-39.5984080067,44.1417977787,5059.9
2010-05-19,4919.65,-363487788.528,1454548514,27.5370898852,-53.6466112267,40.4896411427,5066.2
2010-05-20,4947.6,-65944099.4549,1651851849,28.8661266654,-61.8133822457,40.1206826946,4919.65
2010-05-21,4931.15,323648720.301,1421368040,30.5752377785,-68.8187372531,41.3313942726,4947.6
2010-05-24,4943.95,-226315878.311,1605792884,30.8696185937,-72.5023936578,40.2122646868,4931.15
2010-05-25,4806.75,-295888629.803,1407605665,31.9554459718,-85.5010276856,37.3959958851,4943.95
2010-05-26,4917.4,383471534.214,1629590779,32.9637142514,-85.8881948135,41.0397553266,4806.75
2010-05-27,5003.1,368417584.134,1867860847,32.6637987578,-78.3793237732,43.0473047165,4917.4
2010-05-28,5066.55,263625512.491,2055808787,31.6655602125,-66.5436631307,43.9124802097,5003.1
2010-05-31,5086.3,221476457.919,2235207756,30.5054943273,-54.9374937144,42.9301938716,5066.55
2010-06-01,4970.2,-312828050.777,2052191717,30.0405639641,-54.4764649054,41.124920166,5086.3
2010-06-02,5019.85,281628453.774,2270122541,29.6088429125,-49.5350569719,41.435774821,4970.2
2010-06-03,5110.5,248634211.447,2444728935,28.097660206,-37.869973627,43.3281600096,5019.85
2010-06-04,5135.5,195335041.652,2619290250,26.4562884157,-26.3053817783,42.5154121195,5110.5
2010-06-07,5034.0,-188842521.106,2443683079,25.7132024579,-25.0397581116,41.3506642994,5135.5
2010-06-08,4987.1,-223802309.718,2263026521,25.3222918517,-27.5031999087,41.8013082699,5034.0
2010-06-09,5000.3,-170705796.125,2462939455,24.9593034316,-28.0670514592,40.5525402766,4987.1
2010-06-10,5078.6,300408511.671,2639792853,24.1808969691,-21.9441161253,41.9836868071,5000.3
2010-06-11,5119.35,137490840.63,2838134903,22.8120193458,-13.6467968566,41.8238590751,5078.6
2010-06-14,5197.7,289852249.716,2996966102,21.4977523564,-0.741529057623,43.1121658325,5119.35
2010-06-15,5222.35,305922702.748,3215896567,20.5835250957,11.3439164427,42.2671531061,5197.7
2010-06-16,5233.35,-38495733.3497,3419623987,19.9775589684,21.5606291477,40.91569762,5222.35
2010-06-17,5274.85,276995804.354,3609577707,19.7114094355,32.6295156937,40.858188431,5233.35
2010-06-18,5262.6,-163291497.5,3404379542,19.6299958391,39.9527728738,42.2917196472,5274.85
2010-06-21,5353.3,272474365.188,3590579645,20.1533385788,52.4694829899,44.1767946279,5262.6
2010-06-22,5316.55,-241755217.709,3428536287,20.6392996942,58.7467642686,44.8403488047,5353.3
2010-06-23,5323.15,165292907.256,3578696745,20.7214039247,63.5218051456,43.2830248414,5316.55
